City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,nava,9,IN,1568687667,79,24.13,72.17,82.02,8.21
1,lewistown,1,US,1568687461,78,40.39,-90.15,75.0,5.82
2,ponta do sol,52,BR,1568687667,39,-20.63,-46.0,73.56,4.81
3,saint-philippe,1,CA,1568687668,55,45.36,-73.48,60.8,8.05
4,baiao,46,BR,1568687668,76,-2.79,-49.67,77.34,2.28
5,atuona,1,PF,1568687668,67,-9.8,-139.03,79.68,11.68
6,lebu,75,ET,1568687668,93,8.96,38.73,59.0,4.7
7,biak,93,ID,1568687669,62,-0.91,122.88,74.64,5.84
8,iqaluit,75,CA,1568687605,74,63.75,-68.52,35.6,7.45
9,jamestown,0,AU,1568687680,28,-33.21,138.6,57.9,10.51
10,kavieng,54,PG,1568687719,76,-2.57,150.8,82.02,8.93
11,mar del plata,73,AR,1568687720,57,-46.43,-67.52,48.72,20.98
12,ust-ordynskiy,40,RU,1568687720,93,52.8,104.75,44.6,6.71
13,pevek,0,RU,1568687720,78,69.7,170.27,44.22,17.22
14,avarua,0,CK,1568687720,74,-21.21,-159.78,78.8,10.29
15,pontarlier,0,CH,1568687720,87,46.9,6.35,64.99,2.24
16,jaciara,5,BR,1568687721,23,-15.95,-54.98,77.7,2.68
17,kidal,0,ML,1568687721,20,18.44,1.41,90.3,8.57
18,ushuaia,40,AR,1568687721,86,-54.81,-68.31,33.8,4.7
19,bredasdorp,0,ZA,1568687476,93,-34.53,20.04,54.0,3.36
20,hermanus,0,ZA,1568687722,98,-34.42,19.24,57.0,4.0
21,saint-augustin,20,CA,1568687722,93,45.63,-73.98,60.8,3.36
22,sao filipe,1,CV,1568687722,82,14.9,-24.5,80.58,2.66
23,cape town,0,ZA,1568687723,93,-33.93,18.42,59.0,5.82
24,palmer,0,AU,1568687723,30,-34.85,139.16,64.0,9.17
25,esso,35,RU,1568687723,42,55.93,158.7,53.22,7.61
26,atikokan,37,CA,1568687603,89,48.76,-91.62,64.02,7.45
27,eydhafushi,23,MV,1568687460,71,5.1,73.07,83.28,6.24
28,sinnar,24,IN,1568687464,87,19.85,74.0,75.9,12.33
29,vanimo,33,PG,1568687724,79,-2.67,141.3,82.38,16.31
30,geraldton,20,CA,1568687724,93,49.72,-86.95,60.8,5.82
31,rikitea,95,PF,1568687725,72,-23.12,-134.97,67.62,20.0
32,coihaique,90,CL,1568687725,75,-45.58,-72.07,44.6,6.93
33,khandbari,100,NP,1568687725,95,27.38,87.21,56.64,0.94
34,new norfolk,20,AU,1568687725,37,-42.78,147.06,55.99,12.75
35,pacific grove,1,US,1568687726,59,36.62,-121.92,69.8,6.93
36,burriana,33,ES,1568687726,93,39.89,-0.08,71.01,2.15
37,busselton,33,AU,1568687726,47,-33.64,115.35,71.01,11.25
38,albany,1,US,1568687715,87,42.65,-73.75,57.0,3.04
39,khatanga,0,RU,1568687726,65,71.98,102.47,37.74,10.6
40,caravelas,0,BR,1568687727,83,-17.73,-39.27,71.94,6.51
41,tongzi,100,CN,1568687727,87,28.78,105.09,67.62,6.06
